07-04-2026 16:04:49 | GET | cafeteria-api/pedidos
07-04-2026 16:08:23 | GET | cafeteria-api/pedidos
07-04-2026 16:10:40 | GET | cafeteria-api/pedidos
07-04-2026 16:10:41 | POST | cafeteria-api/pedidos
07-04-2026 16:10:42 | POST | cafeteria-api/pedidos
07-04-2026 16:10:42 | POST | cafeteria-api/pedidos
07-04-2026 16:10:43 | POST | cafeteria-api/pedidos
07-04-2026 16:10:43 | POST | cafeteria-api/pedidos
07-04-2026 16:10:43 | POST | cafeteria-api/pedidos
07-04-2026 16:10:57 | GET | cafeteria-api/pedidos
07-04-2026 16:10:59 | POST | cafeteria-api/pedidos
07-04-2026 16:10:59 | GET | cafeteria-api/pedidos
07-04-2026 16:10:59 | POST | cafeteria-api/pedidos
07-04-2026 16:10:59 | GET | cafeteria-api/pedidos
07-04-2026 16:11:02 | OPTIONS | cafeteria-api/pedidos/4
07-04-2026 16:11:02 | DELETE | cafeteria-api/pedidos/4
07-04-2026 16:11:02 | GET | cafeteria-api/pedidos
07-04-2026 16:11:07 | POST | cafeteria-api/pedidos
07-04-2026 16:11:07 | GET | cafeteria-api/pedidos
07-04-2026 16:11:08 | OPTIONS | cafeteria-api/pedidos/5
07-04-2026 16:11:08 | DELETE | cafeteria-api/pedidos/5
07-04-2026 16:11:08 | GET | cafeteria-api/pedidos
07-04-2026 16:12:32 | POST | cafeteria-api/pedidos
07-04-2026 16:12:32 | GET | cafeteria-api/pedidos
07-04-2026 16:45:30 | GET | cafeteria-api/pedidos
07-04-2026 16:45:34 | POST | cafeteria-api/pedidos
07-04-2026 16:45:34 | GET | cafeteria-api/pedidos
07-04-2026 16:45:39 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 16:45:39 | DELETE | cafeteria-api/pedidos/3
07-04-2026 16:45:39 | GET | cafeteria-api/pedidos
07-04-2026 16:45:41 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 16:45:41 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:45:41 | GET | cafeteria-api/pedidos
07-04-2026 16:48:34 | GET | cafeteria-api/pedidos
07-04-2026 16:53:14 | GET | cafeteria-api/pedidos
07-04-2026 16:56:51 | GET | cafeteria-api/categorias
07-04-2026 16:56:51 | GET | cafeteria-api/pedidos
07-04-2026 16:56:54 | GET | cafeteria-api/categorias
07-04-2026 16:56:54 | GET | cafeteria-api/produtos
07-04-2026 16:56:56 | GET | cafeteria-api/pedidos
07-04-2026 16:56:59 | GET | cafeteria-api/categorias
07-04-2026 16:56:59 | GET | cafeteria-api/pedidos
07-04-2026 16:57:27 | GET | cafeteria-api/produtos
07-04-2026 16:57:27 | GET | cafeteria-api/pedidos
07-04-2026 16:58:17 | GET | cafeteria-api/produtos
07-04-2026 16:58:17 | GET | cafeteria-api/pedidos
07-04-2026 17:02:43 | GET | cafeteria-api/pedidos
07-04-2026 17:02:43 | GET | cafeteria-api/pedidos
07-04-2026 17:02:45 | GET | cafeteria-api/produtos
07-04-2026 17:02:45 | GET | cafeteria-api/pedidos
07-04-2026 17:02:47 | GET | cafeteria-api/pedidos

07-04-2026 17:02:50 | GET | cafeteria-api/produtos
07-04-2026 17:02:50 | GET | cafeteria-api/pedidos
07-04-2026 17:03:03 | GET | cafeteria-api/produtos
07-04-2026 17:03:03 | GET | cafeteria-api/pedidos
07-04-2026 17:03:28 | GET | cafeteria-api/pedidos

07-04-2026 17:03:28 | GET | cafeteria-api/produtos
07-04-2026 17:03:28 | GET | cafeteria-api/pedidos
07-04-2026 17:03:29 | GET | cafeteria-api/pedidos
07-04-2026 17:03:29 | GET | cafeteria-api/produtos
07-04-2026 17:03:29 | GET | cafeteria-api/produtos
07-04-2026 17:03:29 | GET | cafeteria-api/pedidos
07-04-2026 17:03:29 | GET | cafeteria-api/produtos
07-04-2026 17:03:29 | GET | cafeteria-api/pedidos
07-04-2026 17:03:29 | GET | cafeteria-api/produtos
07-04-2026 17:03:29 | GET | cafeteria-api/pedidos
07-04-2026 17:03:29 | GET | cafeteria-api/produtos
07-04-2026 17:03:29 | GET | cafeteria-api/pedidos
07-04-2026 17:03:30 | GET | cafeteria-api/produtos
07-04-2026 17:03:31 | GET | cafeteria-api/produtos
07-04-2026 17:26:14 | GET | cafeteria-api/pedido_itens
07-04-2026 17:28:08 | GET | cafeteria-api/pedido_itens
07-04-2026 17:28:43 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:15 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:15 | GET | cafeteria-api/produtos
07-04-2026 18:31:15 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:16 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:16 | GET | cafeteria-api/produtos
07-04-2026 18:31:16 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:16 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:16 | GET | cafeteria-api/produtos
07-04-2026 18:31:16 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:16 | GET | cafeteria-api/produtos
07-04-2026 18:31:16 | GET | cafeteria-api/produtos
07-04-2026 18:31:16 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:17 | GET | cafeteria-api/produtos
07-04-2026 18:31:17 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:17 | GET | cafeteria-api/produtos
